nom;code_postal;longitude;latitude
st-champ;1300;912085;6523709
st-cyr-sur-menthon;1380;852470;6576369
st-denis-lès-bourg;1000;869623;6569047
st-denis-en-bugey;1500;880463;6541584
st-didier-d'aussiat;1340;859311;6579877
st-didier-de-formans;1600;837872;6540475
st-didier-sur-chalaronne;1140;840407;6564970
st-eloi;1800;866585;6538968
st-etienne-du-bois;1370;875533;6578102
st-etienne-sur-chalaronne;1140;844316;6562840
st-etienne-sur-reyssouze;1190;853644;6590840
ste-euphémie;1600;837822;6542695
st-genis-pouilly;1630;932608;6576685
st-genis-sur-menthon;1380;855521;6577557
st-georges-sur-renon;1400;856804;6557594
st-germain-de-joux;1130;910549;6568103
st-germain-les-paroisses;1300;903579;6522309
st-germain-sur-renon;1240;858407;6555414
st-jean-de-gonville;1630;927343;6573152
st-jean-de-niost;1800;872320;6528017
st-jean-de-thurigneux;1390;845617;6540654
st-jean-sur-reyssouze;1560;859020;6590979
st-jean-sur-veyle;1290;847904;6574034
ste-julie;1150;876816;6533700
st-julien-sur-reyssouze;1560;862860;6591080
st-julien-sur-veyle;1540;850352;6568540
st-laurent-sur-saône;1620;840844;6579421
st-martin-de-bavel;1510;907938;6531345
st-martin-du-frêne;1430;896851;6562089
st-martin-du-mont;1160;879971;6558234
st-martin-le-châtel;1310;863218;6577759
st-maurice-de-beynost;1700;852919;6527502
st-maurice-de-gourdans;1800;870799;6526864
st-maurice-de-rémens;1500;876591;6541471
st-nizier-le-bouchoux;1560;865013;6596693
st-nizier-le-désert;1320;866223;6552289
ste-olive;1330;849299;6548519
st-paul-de-varax;1240;864527;6557798
st-rambert-en-bugey;1230;888206;6541817
st-rémy;1310;867372;6566762
st-sorlin-en-bugey;1150;883793;6533906
st-trivier-de-courtes;1560;859583;6598770
st-trivier-sur-moignans;1990;846845;6554014
st-vulbas;1150;876976;6528150
salavre;1270;880623;6588250
samognat;1580;898731;6575483
sandrans;1400;853027;6554166
sault-brénaz;1150;887772;6530693
sauverny;1220;939999;6584752
savigneux;1480;843163;6546151
ségny;1170;937010;6582412
seillonnaz;1470;892600;6525288
sergy;1630;931068;6576626
sermoyer;1190;851829;6601903
serrières-sur-ain;1450;889065;6564064
servas;1240;867524;6561212
servignat;1560;858933;6594309
simandre-sur-suran;1250;886512;6571763
songieu;1260;909034;6544716
sonthonnax-la-montagne;1580;894952;6573139
souclin;1150;887703;6532913
sulignat;1400;851977;6565248
surjoux;1420;916576;6550535
sutrieu;1260;905239;6542365
talissieu;1510;910964;6533671
tenay;1230;893731;6538656
thézillieu;1110;901624;6534467
thil;1120;856828;6526490
thoissey;1140;838864;6564935
torcieu;1230;885984;6538416
tossiat;1250;879101;6561541
toussieux;1600;841693;6542784
tramoyes;1390;852808;6531943
la tranclière;1160;875274;6560319
trévoux;1600;837148;6538237
valeins;1140;844395;6559509
vandeins;1660;860315;6571016
varambon;1160;879427;6550441
vaux-en-bugey;1150;882110;6538299
verjon;1270;880690;6586030
vernoux;1560;862622;6599962
versailleux;1330;862565;6544414
vesancy;1170;936794;6587960
vescours;1560;855748;6598670
vésines;1570;843790;6585044
veyziat;1100;902470;6578940
vieu-d'izenave;1430;895486;6556489
vieu;1260;907750;6536894
villars-les-dombes;1330;856316;6546473
villebois;1150;888547;6530717
villemotier;1270;878383;6585962
villereversure;1250;883564;6567229
villes;1200;914795;6557139
viriat;1440;871009;6574640
virieu-le-grand;1510;905611;6531266
virieu-le-petit;1260;910849;6537000
virignin;1300;911538;6517023
volognat;1460;894359;6567564
vongnes;1350;911155;6528121
vonnas;1540;854150;6570857
vouvray;1200;914638;6561578
la valbonne;1360;865276;6530045
chânes;1120;866827;6530087
marfoz;1800;866737;6533417
le mas rillier;1700;851367;6527464
abbécourt;2300;713018;6944547
achery;2800;727441;6953501
acy;2200;730524;6916797
agnicourt-et-séchelles;2340;768547;6958299
aguilcourt;2190;770428;6922711
aisonville-et-bernoville;2110;738086;6981389
aizelles;2820;759445;6931488
alaincourt;2240;726682;6961288
allemant;2320;732629;6930160
ambleny;2290;713074;6920069
ambrief;2200;729088;6913453
amifontaine;2190;766694;6931568
amigny-rouy;2700;721697;6944573
ancienville;2600;716029;6902277
andelain;2800;726745;6947933
anguilcourt-le-sart;2800;731051;6953520
anizy-le-château;2320;732610;6933498
annois;2480;712266;6957900
any-martin-rieux;2500;787753;6976373
archon;2360;780781;6960686
arcy-ste-restitue;2130;734225;6905694
armentières-sur-ourcq;2210;727708;6897872
arrancy;2860;754370;6931438
artemps;2480;712975;6963466
artonges;2330;740298;6870142
assis-sur-serre;2270;741161;6953584
athies-sous-laon;2840;749210;6941406
attilly;2490;712235;6972369
aubencheul-aux-bois;2420;719364;6992428
aubenton;2500;786399;6970786
